Date : 2025-07-15 02:20:24
Directory : /Users/tatsuyakondo/Documents/SALTO/cineTrack
Total : 80 files,  27376 codes, 330 comments, 1609 blanks, all 29315 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/config/TestSecurityConfig.java          | Java            |         21 |          0 |          4 |         25 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/controller/AuthControllerTest.java      | Java            |        145 |         12 |         31 |        188 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/service/UserServiceTest.java            | Java            |         92 |         18 |         28 |        138 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/backend/src/test/java/com/cinetrack/service/ViewingRecordServiceTest.java   | Java            |        175 |         28 |         45 |        248 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/docker-compose.yml                                                          | YAML            |         60 |          3 |          5 |         68 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/README.md                                                          | Markdown        |         38 |          0 |         33 |         71 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/package-lock.json                                                  | JSON            |     18,536 |          0 |          1 |     18,537 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/package.json                                                       | JSON            |         46 |          0 |          1 |         47 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/public/index.html                                                  | HTML            |         20 |         23 |          1 |         44 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/public/manifest.json                                               | JSON            |         25 |          0 |          1 |         26 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.css                                                        | PostCSS         |         33 |          0 |          6 |         39 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.js                                                         | JavaScript      |        122 |          0 |          3 |        125 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/App.test.js                                                    | JavaScript      |         40 |          6 |          7 |         53 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/__mocks__/axios.js                                             | JavaScript      |         11 |          0 |          0 |         11 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/__mocks__/react-router-dom.js                                  | JavaScript      |         35 |          0 |          2 |         37 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/auth/ProtectedRoute.js                              | JavaScript      |         21 |          0 |          4 |         25 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/auth/ProtectedRoute.test.js                         | JavaScript      |         83 |          6 |         23 |        112 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/layout/Navbar.js                                    | JavaScript      |        311 |          0 |         16 |        327 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/components/layout/Navbar.test.js                               | JavaScript      |         59 |          4 |         12 |         75 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/context/AuthContext.js                                         | JavaScript      |         91 |          2 |         16 |        109 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/context/AuthContext.test.js                                    | JavaScript      |        113 |         11 |         29 |        153 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.css                                                      | PostCSS         |         12 |          0 |          2 |         14 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.js                                                       | JavaScript      |         12 |          3 |          3 |         18 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/index.test.js                                                  | JavaScript      |         29 |          8 |         11 |         48 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/logo.svg                                                       | XML             |          1 |          0 |          0 |          1 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Dashboard.js                                             | JavaScript      |        334 |          2 |         22 |        358 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Dashboard.test.js                                        | JavaScript      |        303 |          9 |         71 |        383 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Home.js                                                  | JavaScript      |        430 |          0 |         22 |        452 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Home.test.js                                             | JavaScript      |        171 |          5 |         38 |        214 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Login.js                                                 | JavaScript      |        117 |          0 |         10 |        127 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Login.test.js                                            | JavaScript      |        122 |          8 |         43 |        173 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Movies.js                                                | JavaScript      |        780 |          4 |         54 |        838 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Movies.test.js                                           | JavaScript      |        324 |         23 |        105 |        452 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Register.js                                              | JavaScript      |        162 |          0 |         13 |        175 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Register.test.js                                         | JavaScript      |        175 |         11 |         63 |        249 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Statistics.js                                            | JavaScript      |        464 |          4 |         27 |        495 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Statistics.test.js                                       | JavaScript      |         72 |          6 |         16 |         94 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.js                                        | JavaScript      |        464 |          0 |         43 |        507 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/ViewingRecords.test.js                                   | JavaScript      |        355 |         19 |        102 |        476 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/pages/Wishlist.js                                              | JavaScript      |        308 |          0 |         24 |        332 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.js                                             | JavaScript      |         12 |          0 |          2 |         14 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/reportWebVitals.test.js                                        | JavaScript      |         73 |          5 |         22 |        100 |
| /Users/tatsuyakondo/Documents/SALTO/cineTrack/frontend/src/setupTests.js                                                  | JavaScript      |         24 |          8 |          4 |         36 |
| Total                                                                                                                     |                 |     27,376 |        330 |      1,609 |     29,315 |
+---------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
